identifier,legacy_identifier,name,birthplace,nationality,gender,locations - invasion,locations - internments,locations - liberation - date,locations - liberation - location,locations - liberation - by,date,recording location,recording languages,recording duration,recording spools,audio - file,audo - mime-type,"credits - who, role",commentary - text,commentary - attribution
boleslaw-czolopicki,czolopickiB,Boleslaw Czolopicki,"Warsaw, Poland",Poland,male,unknown,Bochum,1945-03-03,"Moers, Germany",United States,1946-07-30,"Paris, France","Polish, Russian",00:17:59.301,9-4B,czolopickiB_9-4B_SLP.mp3,audio/mp3,"Alicia Nitecki, Transcription (Polish), Alexander Gribanov, Transcription (Russian), Alicia Nitecki, Translation (Polish), Alexander Gribanov, Translation (Russian), Elliot Lefkovitz, Footnotes","<p>David Boder interviewed Boleslaw Czolopicki in Paris on July 30, 1946. The location of the interview is not noted. Mr. Czolopicki identified himself as a single man and a Polish refugee who had been deported from Warsaw. There is a possibility, although not indicated in the interview, that he was a Jew who continued to live under an assumed name. Mr. Czolopicki was deported to Germany along with thousands of other Poles after the failed Polish uprising against the Germans in the summer and early fall of 1944. Sent to the Rhineland under inhuman conditions, he was a forced laborer until he was liberated by American troops in March, 1945. He then came to Paris working for the Americans in an unstated capacity. At the time of the interview, he was studying radio with the hope of one day immigrating to the United States. Mr. Czolopicki’s wartime experiences illustrate the suffering of forced laborers and the dislocation experienced by countless Europeans as a result of the war.</p>",Elliot Lefkovitz
brone-skudaikiene,skudaikieneB,Bronė Skudaikienė,"Zemaičių Kalvarija, Lithuania",Lithuania,female,"","",unknown,"","",1946-09-21,"München, Germany","German, Lithuanian, Russian",00:07:51.145,9-143B,skudaikieneB_9-143B_SLP.mp3,audio/mp3,"S. PetersP. Gaensicke, Transcription (German), L. Paulauskaite, Transcription (Lithuanian), , Transcription (Russian), S. PetersP. Gaensicke, English Translation (German), L. Paulauskaite, English Translation (Lithuanian), , English Translation (Russian)",none,none
captain-robert-zeplit,zeplitR,Captain Robert Zeplit,unknown,Latvia,male,unknown,"",unknown,"",United States,1946-09-21,"München, Germany",English,00:33:02.824,"9-139B, 9-140A",zeplitR_9-139B_9-140A_SLP.mp3,audio/mp3,"David Palmer, Transcription",none,none
charles-jean,jeanC,Charles Jean,unknown,France,male,unknown,"",unknown,"","",1946-08-21,"Paris, France","French, English",00:12:18.063,9-57B,jeanC_9-57B_SLP.mp3,audio/mp3,"Deborah Joyce, Transcription, Deborah Joyce, English Translation, Elliot Lefkovitz, Footnotes","<p>Charles Jean was in the French army at the outbreak of the war. He was captured by the Germans but escaped and returned to his home in the Vichy-controlled zone of France in 1940. When he was summoned for compulsory labor service in Germany in 1943, he joined the FTP-MOI, the communist wing of the French resistance and was an active resister until the liberation of France at the end of the summer of 1944. The majority of interview is devoted to Charles Jean’s time in his resistance group, which operated in south central France.</p><p>Regarding this interviewee’s surname, it is possible that as the family chauffeur, “Charles Jean” was called familiarly by his first two names. Since the exact spelling of “Jean” is not known, it is also possible that this was his surname.</p><p>This interview is part of a group of interviews with the eminent Kahn family and their chauffeur taken in Paris on August 21, 1946 during an evening at the home of Admiral Louis Kahn. The interviews were conducted in the following order: Abraham Schramack (Mrs. Kahn’s father), Jean Kahn (the family’s younger son) Anne Marcelle Kahn, and her husband, Admiral Kahn. These are followed by an interview with the family’s chauffeur, Charles Jean, who during the German occupation was in the French resistance. The Kahns were among the approximately 150,000 French Jews who had deep roots in France. (Another 200,000 Jews in France during the Holocaust were more recent immigrants.) Despite their long-standing residence in France, the Kahn family lived a precarious existence during the Occupation. Due to his service in the French navy, Admiral Kahn was separated from his family at the start of the war and was not in France during the war years.</p>",Elliot Lefkovitz
charlotte-schultze,schultzeC,Charlotte Schultze,"Dresden, Germany",unknown,female,unknown,"",unknown,"","",1946-09-20,"München, Germany",German,00:26:53.871,"9-136B, 9-137A",schultzeC_9-136B_9-137A_SLP.mp3,audio/mp3,"Dagmar Platt, Transcription, David P. Boder, English Translation",none,none
clara-neiman,neimanC,Clara Neiman,"Saratov, Russia",Russia,female,"Kutaisi, Georgia","",unknown,"","",1946-09-12,"Hénonville, France","Russian, Yiddish",00:20:39.666,9-121B,neimanC_9-121B_SLP.mp3,audio/mp3,"Olga Collin, Transcription (Russian), Khane-Faygl Turtletaub, Transcription (Yiddish), David P. Boder, English Translation",none,none
david-hirsch,hirschD,David Hirsch,unknown,Germany,male,"Mannheim, Germany","Gurs, Rivesaltes, Les Avants",unknown,"Montreux, Switzerland",Switzerland,1946-08-26,"Genève, Switzerland",German,00:26:16.594,9-74B,hirschD_9-74B_SLP.mp3,audio/mp3,"Johannes Barthel, Transcription, Johannes Barthel, English Translation, Elliot Lefkovitz, Footnotes","<p>David Hirsch was only eighteen years old when David Boder conducted a brief interview with him in the ORT School for Boys in Geneva Switzerland on August 26, 1946.  Hirsch was born in Mannheim, Germany. In 1937, his parents left him with his grandparents and emigrated to Buenos Aires, planning to send for their son. The war intervened, and in 1940 David and his grandparents were deported to Gurs, an internment camp in newly conquered France. From there, in the spring of 1941, they were sent to Rivesaltes, another internment camp in France.</p><p>David fortunately was taken from Rivesaltes by the Œuvre de secours aux enfants (OSE), a French Jewish organization. However his grandparents were deported—almost certainly to their deaths—in the summer of 1942. After spending approximately two years in France under the care of the OSE and the French Jewish scout movement, David was able to cross the French border into Switzerland. He came close to being deported back to France, but luckily was able to find sanctuary in Switzerland. At the time of the interview, he was awaiting his visa to Argentina to reunite with his parents.</p><p>David Hirsch’s interview casts light on the rescue efforts of the OSE and the French Jewish scout movement, the life-saving importance of skillfully forged identification papers, and the callous policies of neutral Switzerland towards Jewish refugees. An estimated 20,000 refugees who managed to get close to the Swiss border or enter the country were turned away or deported. David Hirsch was one of the 25,000 who managed to find asylum in Switzerland and survive the Holocaust.</p><p>Like so many of Boder’s interviewees, David was preparing for his postwar life through diligent study and seeking to gain admittance into a new country. At his young age, he had his whole life ahead of him. At the conclusion of the interview, Boder, as he had done a number of times before, offered his help to the interviewee. He promised to seek out an official who would speed the immigration process for David.</p>",Elliot Lefkovitz
david-lea,leaD,David Lea,"Thessaloníki, Greece",Greece,male,unknown,"Auschwitz, Warsaw Ghetto, Landsberg, Buchenwald, Dachau",1945-04-29,"Dachau, Germany",United States,1946-08-12,"Paris, France","German, Spanish",00:55:09.844,"9-41B, 9-42",leaD_9-41B_9-42_SLP.mp3,audio/mp3,"Adriana Barrós Tomé, Transcription (Spanish), Patricia Sanner, Translation (Spanish), Simone Müller, Transcription (German), Simone Müller, Translation (German), Elliot LefkovitzSimone Müller, Footnotes","<p>David Boder interviewed David Lea, a twenty-eight year old Greek Jew, on August 12, 1946 in Paris at the headquarters of the American Jewish Joint Distribution Committee. It appears that the interview was conducted in German and then in Spanish. Due to language problems, Mr. Lea had some difficulty communicating his responses to Boder’s questions so parts of the interview are a bit hard to interpret. The language barrier may also account for some inconsistencies in Mr. Lea’s account, but these may also be due to the terrible traumas he experienced.
  </p><p>Mr. Lea was born in Salonika, a port city in northern Greece with a large pre-Holocaust Jewish population and a renowned center of Sephardic Jewish culture. After serving in the Greek army during World War II fighting against Italian and German invaders, Mr. Lea returned to Salonika  from where he was deported to Auschwitz-Birkenau along with thirty-six members of his family. After a month in the camp, Mr. Lea was the sole survivor. He then was among a contingent of Greek Jewish prisoners sent to Warsaw in the wake of the Warsaw ghetto rebellion (April 19-May 16, 1943) to clear the ruins of the ghetto and comb it for anything of value.</p><p> Mr. Lea was then returned to Auschwitz-Birkenau where he worked in the Sonderkommando in the deepest circle of the Nazi hell. In this capacity, he witnessed the destruction of several hundred thousand Hungarian Jews in the late spring and early summer of 1944. Mr. Lea was in the sickbay in Auschwitz during the memorable October 7, 1944 revolt of the Sonderkommando in which Greek Jews played a vital role. Following the evacuation of Auschwitz on January 18, 1945,  Mr. Lea ultimately was transported to Landsberg, a sub camp of Dachau. Mr. Lea remained incarcerated there until his liberation by the Americans on April 29, 1945.</p><p> Mr. Lea was  among the only 2% of his native Salonikan community of some 54,000 Jews who survived the Holocaust. Mr. Lea’s interview demonstrates the savage and sadistic brutality of the Nazi regime and the incredible determination, resiliency and courage as well as good fortune it took survive the worst of man’s inhumanity to man. Despite all that he had gone through and all the painful losses he had suffered, Mr. Lea at the time of the interview was working to aid other survivors and retained the hope of immigrating to Palestine where he planned to rebuild his life. </p>",Elliot Lefkovitz
dina-linik,linikD,Dina Linik,unknown,Poland,female,"Kiyev, Ukraine","",unknown,"","",1946-09-13,"Hénonville, France","Russian, Yiddish",00:26:19.232,9-130A,linikD_9-130A_SLP.mp3,audio/mp3,", Transcription, , Translation, Eben E. English, Footnotes",none,none
dr-jacob-oleiski,oleiskiJ,Dr. Jacob Oleiski,"Sakiai, Lithuania",Lithuania,male,"","Kaunas Ghetto, Stutthof, Dachau",1945-04-26,"Schwabhausen Bei Landsberg, Germany",United States,1946-08-20,"Paris, France",Yiddish,00:35:35.823,9-54,oleiskiJ_9-54_SLP.mp3,audio/mp3,"David P. Boder, English Translation",none,none
dr-jacob-wilf,wilfJ,Dr. Jacob Wilf,"L'viv, Ukraine",unknown,male,"L'viv, Ukraine","",unknown,"","",1946-08-17,"Paris, France","German, Yiddish, Russian",00:37:17.100,9-50,wilfJ_9-50_SLP.mp3,audio/mp3,"Dagmar Platt, Transcription, David P. Boder, English Translation",none,none
dr-leon-frim,frimL,Dr. Leon Frim,"L'viv, Ukraine",Poland,male,"Przemyśl, Poland","Przemyśl Ghetto, Przekopana, Szebnie, Pustkow, Auschwitz, Gleiwitz, Gross-Rosen, Buchenwald",1945-04-11,"Weimar, Germany",United States,1946-09-25,"Wiesbaden, Germany",German,01:26:39.934,"9-156B, 9-157, 9-158A",frimL_9-156B_9-157_9-158A_SLP.mp3,audio/mp3,"Sascha PöhlmannSimone Müller, Transcription, Sascha PöhlmannSimone Müller, Translation",none,none
dr-maximillian-lipschitz,lipschitzM,Dr. Maximillian Lipschitz,"Neuschonstau, Czechoslovakia",unknown,male,"Kraków, Poland",Krakow Ghetto,unknown,"","",1946-08-04,"Paris, France",German,00:14:08.770,9-21,lipschitzM_9-21A_SLP.mp3,audio/mp3,"Stefan Meuser, Transcription, Stefan Meuser, English Translation","<p>In this short interview, Boder speaks with Dr. Maximilian Lipschitz, a Czech-born Jew who spent most of the war in the Kraków Ghetto, one of the main ghettos created within the General Government area of Nazi-occupied Poland. Lipschitz provides a detailed description of the overcrowded living conditions in the ghetto (15,000 Jews were forced to live in an area in which only 3,000 people had previously lived). As a laborer in German military factories, Lipschitz and much of his family were spared the initial deportations to the Belzec extermination camp, and he claims that he was able to save his sister and children.</p><p>Unfortunately, the interview ends abruptly before Lipschitz can finish his story, so the rest of his experiences are unknown. (It is unlikely that he stayed in Kraków for much longer—the ghetto was liquidated in March 1943, and all remaining inhabitants were either sent to various concentration camps or killed outright.) This interview was among the many that Boder was unable to transcribe before his death in 1961. The short duration (less than fifteen minutes) and the fact that it was interrupted may have made it less of a priority.</p>",Eben E. English
eda-button,buttonE,Eda Button,"Thessaloníki, Greece",Spain,female,unknown,"Saloniki Ghetto, Bergen-Belsen",1944-04-15,"Bergen, Germany","",1946-08-05,"Paris, France",German,00:47:37.665,9-26,buttonE_9-26_SLP.mp3,audio/mp3,"Claudia DeetjenChristian Schmidt, Transcription, Claudia DeetjenChristian Schmidt, Translation, Elliot LefkovitzChristian SchmidtEben E. English, Footnotes","<p>Eda Button was born in Salonika Greece, the world center of Sephardic Jewry. She married in October, 1939, and the couple had one child, born in May 1942. Mrs. Button’s husband was an attorney. The interview was conducted in German in a home for refugees in Paris. There is no indication that Eda Button was related to Jacob Button whom Boder also interviewed.</p><p>The Germans occupied Salonika on April 9, 1941. Persecution of Jews began in earnest in the summer of 1942. In early 1943, the Jews of Salonika were ghettoized, and other restrictions and humiliations were imposed upon them. Mrs. Button’s husband fled to the mountains. Mrs. Button entrusted her baby daughter to an Italian woman who turned the baby over to be cared for by a convent of the Daughters of Charity of St. Vincent de Paul. Mrs. Button herself fled to Athens which was then still under the rule of Fascist Italy, an ally of Nazi Germany. The Italians resisted German demands to deal harshly with the Jews.</p><p>In Athens, Mrs. Button stayed first with her sister and then with her husband’s relatives. He joined her in the city. Her brother and elderly mother were there as well. Mrs. Button attempted successfully to reinstate the Spanish citizenship she had held as a child. This would prove a life saving measure. On September 8, 1943, the Germans occupied Athens following the surrender of Italy to the Allies. Mrs. Button and other Athenian Jews went into hiding when the Germans ordered all Jews in Athens to register with the community. She and others lived in constant fear.</p><p>Mrs. Button’s husband was able to successfully escape by boat to neutral Turkey and from there to Palestine. On April 12, 1944, Mrs. Button, her brother and mother along with other Jews with Spanish citizenship were deported to Bergen-Belsen concentration camp rather than to Auschwitz-Birkenau where they would have faced almost certain death. They were interned in the so-called neutral camp in Bergen-Belsen from which Mrs. Button was liberated by the British army on April 15, 1945. Once freed, Mrs. Button went to Paris where, fifteen days before the interview with Boder, she was reunited with her child. At the time of the interview, Mrs. Button was preparing to join her husband in Tel Aviv.</p><p>Mrs. Button’s interview vividly demonstrates how the Holocaust ripped families asunder. This is illustrated by Mrs. Button’s heartbreaking separation from her baby daughter and then from her husband. The interview ends on a positive note with the promise of family reunification. Many families were not nearly as fortunate.</p>",Elliot Lefkovitz
edith-serras,serrasE,Edith Serras,"Edineţ, Romania",Romania,female,"Paris, France","Drancy, Birkenau, Ravensbrück",unknown,"Ravensbrück, Germany",France,1946-08-07,"Paris, France","Yiddish, German",01:14:05.570,"9-34, 9-35",serrasE_9-34_9-35_SLP.mp3,audio/mp3,"David P. Boder, English Translation",none,none
edith-zierer,ziererE,Edith Zierer,"Katowice, Poland",Poland,female,"Katowice, Poland","Krakow Ghetto, Plaszow, Skarżysko-Kamienna, Częstochowa",unknown,"Częstochowa, Poland",Russia,1946-09-08,"Bellevue, France",German,00:22:13.289,9-116B,ziererE_9-116B_SLP.mp3,audio/mp3,"Dagmar Platt, Transcription, David P. Boder, English Translation","<p>Short interviews with orphan charges at the Bellevue home for displaced Jewish orphans funded by French and American Jewish charities (run by Lena Kuechler, another Boder interviewee) grant us something like a child’s eye view of the Holocaust. </p><p>Unlike her classmates, fifteen-year-old Edith Zierer could not elude the Germans. Her parents fled to L’viv in eastern Poland from their native Katowice in 1939, but conditions in the Soviet zone of occupation must have been very poor, for they moved to German-occupied Kraków in 1940. Her mother’s attempt to “pass” with forged Aryan papers failed when a local ethnic German recognized her and informed the authorities. Edith and her younger sister fled to the Kraków ghetto and joined their father shortly before all three were sent to a nearby labor camp. When the two children were literally tossed out for being too young, Edith managed for a time to provide her sister with a hiding place on a Polish farm. But when all the Jews in the region seemed about to be swept into Plaszow concentration camp just outside Kraków, she saw to it that the three of them would go here together, yet another example of powerful Jewish family bonds. Ultimately Edith was selected for work in the ammunition plants at Skarżysko and Czestochowa. Her knowledge of German doubtless played a role in getting good work assignments. She searched in vain for her family after liberation and was sent by Jewish authorities to Lena Kuechler’s home in Zakopane.</p>",""
ephraim-gutman,gutmanE,Ephraim Gutman,unknown,Ukraine,male,"Kaunas, Lithuania",Kaunas Ghetto,unknown,"","",1946-09-12,"Hénonville, France","German, Yiddish",00:54:47.823,"9-124, 9-125A",gutmanE_9-124_9-125A_SLP.mp3,audio/mp3,"Dagmar Platt, Transcription, David P. Boder, English Translation","<p>Lithuanian Jewry, like its counterpart in eastern Poland, encountered the Germans for the first time in June 1941. The principal difference was that Lithuanian nationalists, embittered by Soviet rule in 1940 and 1941, viewed the Germans as a lesser evil and the Jews as supportive of Communism. Ephraim Gutman had been born in 1917 in Ukraine, but he lived most of his life up to 1944 in the Lithuanian capital of Kaunas (which he calls by its Russian name, Kovno). He experienced the birth, life, and death of the Kovno ghetto. On the day of his interview at Hénonville Displaced Persons Home near Paris in September 1946 he was one of only about 2,000 survivors of a Jewish community that had numbered 40,000 before the war.</p><p>This interview documents poor relations between Lithuanians and Jews in 1941. Although Lithuanian contempt for the Jews is well known, Gutman’s sentiments suggest that it was heartily reciprocated by at least some Jews, who sneered at their neighbors as primitive “Lithuanian Klurnpes,” named for the peasants’ wooden shoes. Far more graphic, however, are his descriptions of Lithuanian nationalists lashing out at the Jews at the moment of German conquest. These extremists were exacting revenge for what they regarded as Jewish sympathy with the USSR during its brief occupation of their country. The Soviets had restricted Jewish religious and economic life but opened the doors to Jewish participation in higher education and politics, thereby attracting a following among young Jews. This association by Lithuanian nationalists of Jews with Communism had catastrophic consequences in the form of pogroms during the interval between the flight of the Red Army and the arrival of the Germans. Gutman and his family were spared only by the intervention of a sympathetic Lithuanian acquaintance. His recollections also show how the Germans subsequently were able to draw ordinary Lithuanians into measures against the Jews by permitting them to share booty taken from the victims. Lithuanian volunteers would continue to assist the Germans in actions against the Jews throughout the war, both in Kovno and elsewhere. </p><p>Gutman is most intent upon describing the initial acts of Nazi violence against the Jews in the first months of the Kovno ghetto, as well as the last, heartbreaking deportation of children and old people in March 1944. But he also shows how the Germans gradually whittled down the population of the ghetto to around 18,000 with executions and deportations. A close reading of his interview reveals that he and most others who survived in Kovno had, or were related to someone who had, a “Jordan card” attesting to the status of a skilled laborer working for the Germans in the ghetto. These were issued by SA captain Fritz Jordan, the superintendent of Jewish affairs in Kovno and from all accounts a thoroughly sinister figure. In September 1941 he delivered 5,000 of these “Certificates for Jewish Artisans” to the Jewish Council, led by Dr. Elchanan Elkes. Elkes and his fellow Jewish elders were divided over the wisdom of distributing the certificates, but they finally bowed to demands from the Jewish workers themselves, who hoped that possession of a “Jordan card” might enhance their chances of survival. Gutman, an electrician, had one of them. </p><p>Among the most interesting passages of his account are those regarding the involvement of at least a part of the Kovno ghetto’s Jewish police force in preparations for resistance and establishing bunkers in which Jews planned to hide from future deportations. Sadly, the Nazis succeeded in turning the lower ranks of the Jewish police against their officers, resulting in reprisals and the discovery of many bunkers. Nor did such hiding places save many Jews when the ghetto was liquidated in July 1944. Using dogs and grenades, the Germans flushed out and killed or deported virtually all the survivors. Fewer than one hundred Jews were still in Kovno when the Red Army returned at the beginning of August, following which Gutman recovered the hidden ghetto archives that he had helped to organize.</p><p>Gutman abruptly terminated the interview before describing the ghetto’s liquidation. Boder was perplexed. Was he called away by a legitimate emergency, or was he unable or unwilling to go on for some personal reason?</p>",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
esther-freilich,freilichE,Esther Freilich,unknown,Poland,female,"",Drancy,unknown,"","",1946-08-09,"Paris, France",German,00:11:03.222,9-40B,freilichE_9-40B_SLP.mp3,audio/mp3,"Dorothea Walter, Transcription, Dorothea Walter, English Translation",none,none
esther-krueger,kruegerE,Esther Krueger,"Kielce, Poland",Poland,female,unknown,"Skarżysko-Kamienna, Warta",1945-01-06,"Warta, Poland",Russia,1946-09-02,"Tradate, Italy",German,00:37:04.535,9-109,kruegerE_9-109_SLP.mp3,audio/mp3,"Dagmar Platt, Transcription, David P. Boder, English Translation",none,none
fania-freilich,freilichF,Fania Freilich,"Augustów, Poland",unknown,female,"Paris, France","Pithiviers, Drancy",unknown,"",United States,1946-08-09,"Paris, France","Yiddish, French",01:36:48.431,"9-36, 9-37, 9-38",freilichF_9-36_9-37_9-38_SLP.mp3,audio/mp3,"David P. Boder, English Translation",none,none
fela-nichthauser,nichthauserF,Fela Nichthauser,"Wadowice, Poland",unknown,female,"Andrychów, Poland","Sosnowiec Ghetto, Birkenheim, Weidenberg, Gräben, Bergen-Belsen",1945-04-15,"Bergen, Germany",United Kingdom,1946-08-01,"Fontenay-aux-Roses, France",German,01:19:04.229,"15, 16",nichthauserF_9-15_9-16_SLP.mp3,audio/mp3,"Dagmer Platt, Transcription, David P. Boder, English Translation","<p>Fela Nichthauser was one of thousands of Polish Jews who were sent to work in Germany during the early part of World War II and actually spent the entire Holocaust period there.  She had been born fourteen years before the German invasion in Wojsławice, a small community in the Bielsko district of southern Poland, southwest of Kraków. At some point during her childhood the family moved to the nearby city of Andrychów where they lived a solid, middle class existence. The Germans divided the family almost immediately, and as it turned out, irrevocably. In 1941 Fela was sent to slave labor in the first of several textile mills inside Germany, the last of which was part of Gräben, a satellite of Gross- Rosen concentration camp. She shows how conditions for her and her coworkers went from bad to worse as SS control became more nearly complete. She views herself as one who steadfastly retained her dignity through every ordeal, confounding some of her tormentors.</p><p>Evacuated westward to Bergen-Belsen at the beginning of 1945, Nichthauser experienced the rapid disintegration of conditions in this hideously overcrowded camp, packed with growing numbers of forced workers from all over Hitler’s collapsing empire. Anyone who reads her description of sanitary conditions there will understand why she found three months in Belsen far worse than the entire previous five years. There Fela experienced firsthand the sadism of the beautiful but mad Irma Grese, who had already established a reputation for brutality as an SS guard at Auschwitz. </p><p>Nichthauser was living near Paris and studying to become a dental technician at a school run by Jewish charities when she gave her interview in August 1946. Her parents and two brothers and two sisters died in the Holocaust; only she and a younger brother survived. Boder commented: “This once lovely and sheltered girl hides her insecurity and bewilderment behind a determined regal bearing and a rigid emotional control. To contemplate how different her life might have been is to realize afresh the dimensions of the catastrophe that has befallen her.”</p>
",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
fira-monk,monkF,Fira Monk,"Paris, France",Russia,female,"Paris, France","",1944-08-22,"Grenoble, France",United States,1946-09-07,"Paris, France","Russian, English",01:53:01.701,"9-111, 9-112, 9-113",monkF_9-111_9-112_9-113_SLP.mp3,audio/mp3,"Olga Collin, Transcription, Olga Collin, English Translation, Elliot Lefkovitz, Footnotes","<p>Fira Monk was born in Russia. Following the Russian Revolution and Civil War (1917-1921), she and her family immigrated first to Vienna, Austria and then, in 1926, to Paris. She eventually found employment with ORT, for whom she worked throughout the German occupation of France. As the Germans advanced on Paris in June 1940, she and her family fled to southern France, residing first in Vichy and then in Marseille. The area in which they lived came to be known as the “Free Zone” administered by the collaborationist Vichy government. Mrs. Monk, her mother and her foster son, a young Spaniard, eventually moved to the Italian zone of occupation in southeastern France near the city of Grenoble. When that zone was abolished, they lived under direct German occupation. All this time, Mrs. Monk worked for ORT, describing her coworkers as her “second family.”</p><p>Fira Monk’s interview details the dedicated and courageous work she and other ORT members were engaged in during the occupation, including issuing false papers, hiding Jewish children, and distributing financial aid to unemployed Jews or those in hiding. This work entailed great risks, to which her narrow escapes from deportation testify. Her endeavors on behalf of Jews in France and those of others in ORT underscore the sometimes-overlooked efforts by Jews to save other Jews during the Holocaust.</p><p>The interview also illustrates both positive and negative behavior on the part of the French population towards Jews, ranging from those who sheltered Jews to those who were part of the dreaded Milice (Vichy paramilitary forces) that persecuted them. Some of the French police Fira Monk encountered were helpful to Jews, while others aided in their arrest and deportation. Although she, her mother, grandmother and foster son survived despite the constant threat of arrest and deportation, her elderly aunt and uncle and another paralyzed aunt were deported and murdered in Auschwitz.</p><p>Following the August 1944 liberation, she worked in Toulouse in a reception center for returning deportees and prisoners of war. She recounted some of what she learned about their harrowing experiences. Among the most horrifying accounts were from refugees who had been sexually abused or subject to pseudoscientific medical experiments. When Boder interviewed Fira Monk in September 1946, she was in Paris working as an ORT social worker aiding survivors. This work recalls the important efforts ORT and other organizations took for the care and rehabilitation of survivors, including dealing with the plight of orphaned children, securing the return of seized property (especially residential property), and vocational training and placement.</p>",Elliot Lefkovitz
first-name-unknown-borgman-joseph-freinhoffer,borgman_freinhofferJ,[first name unknown] Borgman Joseph Freinhoffer,"",Switzerland,male,"","",unknown,"","",1946-08-28,"Genève, Switzerland",German,00:13:53.985,9-85A,borgman_frienhofferJ_9-85A_SLP.mp3,audio/mp3,"Claudia Deetjen, Transcription, Claudia Deetjen, Translation",none,none
first-name-unknown-feneger,feneger,[first name unknown] Feneger,"",Poland,male,"","",unknown,"","",1946-08-16,"Paris, France",English,00:06:50.409,9-45A,feneger_9-45A_SLP.mp3,audio/mp3,"David Palmer, Transcription",none,none
first-name-unknown-rudo,rudo,[first name unknown] Rudo,"Castelló d'Empúries, Spain",Spain,female,"Corbie, France","",unknown,"","",1946-07-30,"Paris, France",Spanish,00:14:16.528,9-8,rudo_9-8_SLP.mp3,audio/mp3,"Roberta Hopson, Transcription, Andrea Castro, Reviewer (transcription), David P. Boder, English Translation",none,none
friedrich-schlaefrig,schlaefrigF,Friedrich Schlaefrig,"Mistelbach, Austria",Austria,male,"Wien, Austria",Theresienstadt,unknown,"Terezín, Czechoslovakia",Russia,1946-08-23,"Paris, France",German,01:21:04.104,"9-67, 9-68",schlaefrigF_9-67_9-68_SLP.mp3,audio/mp3,"Dagmar Platt, Transcription, David P. Boder, English Translation","<p>Friedrich Schlaefrig was a retired Viennese civil servant, sixty-four years of age when Hitler annexed their native Austria to the Third Reich in March 1938. Born in Mistelbach in Lower Austria, Schlaefrig was an architectural engineer by profession and a former ministerial counselor in the Austrian Railroad Ministry. As a former member of the Habsburg imperial bureaucracy, he enjoyed a comfortable pension and the respect of his community. In retirement he divided his time between an old hobby studying the acoustical properties of wooden instruments and service to the Jewish community as head of a local B’nai B’rith chapter. Schlaefrig describes initial Austrian Nazi measures against him and his associates, which were part of an anti-Jewish program that greatly impressed officials from Germany proper. He and his wife were able to send their daughter to England as a domestic servant at that time, but they themselves were unable to find a place of refuge before the Nazis banned emigration in October 1941.</p><p>Friedrich Schlaefrig’s status as a former Habsburg civil servant and a leading figure in the Vienna Jewish community helped determine that he and his wife would be sent to the “old folks” ghetto at Theresienstadt in occupied Czechoslovakia. Initially placed in the fortress at the edge of town and then moved into Theresienstadt proper, they participated in plucky efforts to make the hideously overcrowded facilities capable of supporting at least some of the prisoners. While his wife worked as a nurse in the infirmary, Schlaefrig volunteered for the camp’s technical services, using his engineering skills to pipe clean water into the town. He is obviously proud of an achievement that doubtless saved thousands of lives.</p><p>Was Schlaefrig one of the privileged Jews who survived by exploiting their prominent positions and contacts with the camp’s Jewish leaders? He takes pains to distance himself from Jewish Council chairman Rabbi Benjamin Murmelstein and other camp notables, but Boder’s probing of this point implies that he entertained some doubts on the matter. Indeed, later in the interview Schlaefrig reveals that on more than one occasion he was able to get his name removed from lists of prisoners scheduled for deportation to Polish death camps. That happened even when members of the important construction detail were losing their previous immunity to deportation. Moreover, Schlaefrig and his wife enjoyed a “very lovely” private apartment that went with his administrative position in the technical services department during the last months of the ghetto. On the other hand, there is no direct evidence that he was corrupted by power. Otherwise it seems unlikely that he would have been entrusted with important postliberation tasks on behalf of his former fellow captives.</p><p>When interviewed at the Paris offices of the American Jewish Joint Distribution Committee in August 1946, Schlaefrig was awaiting a telephone call from Lisbon with information on his ship to South Africa. There he hoped to join his son, who had emigrated before the war.</p>
",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
